,text
198, Быть подписчиком нашей Молнии очень полезно Например мы вам первым показываем  сайт премии    оскар для венчурных инвесторов  
199,Добрый вечер Новости за  ноябряВ России навсегда заблокируют   
200,  открыл доступ к своей системе машинного обучения для всех желающих а заодно опубликовал инструкции по ее использованию 
201,Добрый вечер Новости за  ноябряЛучших венчурных инвесторов России назовут на      
202,Добрый вечер Новости за  ноябряЗа  часов  заработал на распродаже  млрд  
203, Всем приветЗапускаем рубрику Стартап дня Основатель отвечает на  необычных вопросов Первый герой   
204, похорошему эти  самых интересных российских перископов  это моя лента  много эфиров вам в вечернюю ленту чтобы занять себя в пробках  
205,Добрый вечер Новости за  ноябряРоссийский стартап  получил бесплатный офис в Лиссабоне на  лет  
206, Наш редактор Аня Соколова сейчас в Казахстане на   где вчера сервис  победил в битве стартапов Это приложение для выявления подделок Например можно проверить бутылку алкоголя на контрафакт Вопрос умеет ли приложение обходить поддельные акцизы которые даже не каждое профессиональное оборудование может определить 
207, здравствуйте Денежной нам всем недели А пока вот для тех кто может упустил эту новость ограниченный пока видимо ответ 
210, Добрый вечер всем На прошлой неделе я ездила в Казахстан на конференцию   Там была интересная дискуссия о слезании с нефтяной иглы и Казахстан тоже на ней даИгорь Рябенький Павел Черкашин Александра Джонсон Брент Купер и другие гуру венчура  о том как построить с нуля плодотворную стартапсреду
